user_id,kac,count_initial_scan_subscriptions,days,rollup_count,unsubscribe_count,inbox_count,fresh_count,unknown_count,domains_gmail,domains_others,signup_origin_Web App,signup_origin_iPhone,Mean_Pred_days,Med_Pred_days
3760843,0,541,272,150.0,273.0,36.0,82.0,0.0,1.0,0.0,0.0,1.0,338.361296554,338.361296554
4961071,0,373,110,94.0,58.0,73.0,148.0,0.0,1.0,0.0,1.0,0.0,256.23038575,256.23038575
1044118,0,508,808,0.0,115.0,62.0,331.0,0.0,1.0,0.0,1.0,0.0,253.415101116,253.415101116
3357097,0,182,371,2.0,62.0,82.0,36.0,0.0,1.0,0.0,1.0,0.0,223.263855088,223.263855088
3771142,0,1130,358,0.0,273.0,108.0,738.0,11.0,0.0,1.0,0.0,1.0,348.701346893,348.701346893
2168573,0,1370,591,103.0,64.0,1139.0,64.0,0.0,1.0,0.0,1.0,0.0,471.601416362,471.601416362
3546059,0,194,249,0.0,121.0,4.0,69.0,0.0,1.0,0.0,0.0,1.0,247.672032847,247.672032847
4806234,0,131,18,0.0,27.0,16.0,88.0,0.0,1.0,0.0,1.0,0.0,209.593199579,209.593199579
4508813,0,197,206,0.0,106.0,10.0,81.0,0.0,1.0,0.0,1.0,0.0,229.417553131,229.417553131
4151030,0,328,284,0.0,118.0,28.0,182.0,0.0,1.0,0.0,1.0,0.0,240.831575466,240.831575466
5469142,0,2,18,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,197.849819112,197.849819112
2529594,0,66,524,0.0,34.0,29.0,3.0,0.0,1.0,0.0,1.0,0.0,208.507409796,208.507409796
4040127,0,227,184,0.0,86.0,52.0,89.0,0.0,1.0,0.0,1.0,0.0,228.89075554,228.89075554
4430892,0,182,172,0.0,96.0,51.0,35.0,0.0,1.0,0.0,1.0,0.0,228.608187552,228.608187552
3045171,0,148,309,44.0,47.0,53.0,4.0,0.0,1.0,0.0,0.0,1.0,242.848710954,242.848710954
1164100,0,1354,863,129.0,882.0,343.0,0.0,0.0,1.0,0.0,1.0,0.0,941.781592608,941.781592608
1148658,0,1672,846,1072.0,362.0,234.0,4.0,0.0,1.0,0.0,1.0,0.0,1592.93350249,1592.93350249
4418326,0,182,270,0.0,145.0,27.0,10.0,0.0,0.0,1.0,0.0,1.0,262.918435724,262.918435724
2648602,0,382,451,0.0,324.0,35.0,23.0,0.0,1.0,0.0,0.0,1.0,303.403776279,303.403776279
4170312,0,71,161,0.0,42.0,7.0,22.0,0.0,1.0,0.0,1.0,0.0,209.234232614,209.234232614
1926759,0,531,647,0.0,89.0,97.0,345.0,0.0,1.0,0.0,1.0,0.0,250.312603075,250.312603075
1852751,0,650,507,419.0,136.0,54.0,41.0,0.0,1.0,0.0,0.0,1.0,393.765891581,393.765891581
4725095,0,466,192,159.0,257.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,351.738518368,351.738518368
2598917,0,415,418,217.0,132.0,64.0,2.0,0.0,1.0,0.0,1.0,0.0,323.542137346,323.542137346
3680810,0,77,308,0.0,37.0,35.0,5.0,0.0,1.0,0.0,0.0,1.0,229.084859682,229.084859682
57080,0,1507,1436,633.0,640.0,11.0,223.0,0.0,1.0,0.0,1.0,0.0,1520.17211748,1520.17211748
3146292,0,728,265,0.0,211.0,114.0,403.0,0.0,1.0,0.0,1.0,0.0,301.980493723,301.980493723
4089656,0,886,318,9.0,321.0,58.0,498.0,0.0,0.0,1.0,1.0,0.0,369.84101209,369.84101209
3145911,0,566,272,93.0,243.0,192.0,38.0,0.0,1.0,0.0,1.0,0.0,340.700410446,340.700410446
4910358,0,166,9,0.0,91.0,50.0,25.0,0.0,1.0,0.0,0.0,1.0,243.115466785,243.115466785
3272598,0,146,185,0.0,84.0,21.0,41.0,0.0,1.0,0.0,1.0,0.0,222.391600823,222.391600823
